File:  Cars Data,,,,,,,,,,,,,,
Description:  Basic data on cars produced in 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Make,Model,DriveTrain,Origin,Type,Cylinders,Engine Size (L),Horsepower,Invoice,Length (IN),MPG (City),MPG (Highway),MSRP,Weight (LBS),Wheelbase (IN)
Acura,3.5 RL 4dr,Front,Asia,Sedan,6,3.5,225,"$39,014 ",197,18,24,"$43,755 ",3880,115
Acura,3.5 RL w/Navigation 4dr,Front,Asia,Sedan,6,3.5,225,"$41,100 ",197,18,24,"$46,100 ",3893,115
Acura,MDX,All,Asia,SUV,6,3.5,265,"$33,337 ",189,17,23,"$36,945 ",4451,106
Acura,NSX coupe 2dr manual S,Rear,Asia,Sports,6,3.2,290,"$79,978 ",174,17,24,"$89,765 ",3153,100
Acura,RSX Type S 2dr,Front,Asia,Sedan,4,2,200,"$21,761 ",172,24,31,"$23,820 ",2778,101
Acura,TL 4dr,Front,Asia,Sedan,6,3.2,270,"$30,299 ",186,20,28,"$33,195 ",3575,108
Acura,TSX 4dr,Front,Asia,Sedan,4,2.4,200,"$24,647 ",183,22,29,"$26,990 ",3230,105
Audi,A4 1.8T 4dr,Front,Europe,Sedan,4,1.8,170,"$23,508 ",179,22,31,"$25,940 ",3252,104
Audi,A4 3.0 4dr,Front,Europe,Sedan,6,3,220,"$28,846 ",179,20,28,"$31,840 ",3462,104
Audi,A4 3.0 convertible 2dr,Front,Europe,Sedan,6,3,220,"$38,325 ",180,20,27,"$42,490 ",3814,105
Audi,A4 3.0 Quattro 4dr auto,All,Europe,Sedan,6,3,220,"$31,388 ",179,18,25,"$34,480 ",3627,104
Audi,A4 3.0 Quattro 4dr manual,All,Europe,Sedan,6,3,220,"$30,366 ",179,17,26,"$33,430 ",3583,104
Audi,A4 3.0 Quattro convertible 2dr,All,Europe,Sedan,6,3,220,"$40,075 ",180,18,25,"$44,240 ",4013,105
Audi,A41.8T convertible 2dr,Front,Europe,Sedan,4,1.8,170,"$32,506 ",180,23,30,"$35,940 ",3638,105
Audi,A6 2.7 Turbo Quattro 4dr,All,Europe,Sedan,6,2.7,250,"$38,840 ",192,18,25,"$42,840 ",3836,109
Audi,A6 3.0 4dr,Front,Europe,Sedan,6,3,220,"$33,129 ",192,20,27,"$36,640 ",3561,109
Audi,A6 3.0 Avant Quattro,All,Europe,Wagon,6,3,220,"$37,060 ",192,18,25,"$40,840 ",4035,109
Audi,A6 3.0 Quattro 4dr,All,Europe,Sedan,6,3,220,"$35,992 ",192,18,25,"$39,640 ",3880,109
Audi,A6 4.2 Quattro 4dr,All,Europe,Sedan,8,4.2,300,"$44,936 ",193,17,24,"$49,690 ",4024,109
Audi,A8 L Quattro 4dr,All,Europe,Sedan,8,4.2,330,"$64,740 ",204,17,24,"$69,190 ",4399,121
Audi,RS 6 4dr,Front,Europe,Sports,8,4.2,450,"$76,417 ",191,15,22,"$84,600 ",4024,109
Audi,S4 Avant Quattro,All,Europe,Wagon,8,4.2,340,"$44,446 ",179,15,21,"$49,090 ",3936,104
Audi,S4 Quattro 4dr,All,Europe,Sedan,8,4.2,340,"$43,556 ",179,14,20,"$48,040 ",3825,104
Audi,TT 1.8 convertible 2dr (coupe),Front,Europe,Sports,4,1.8,180,"$32,512 ",159,20,28,"$35,940 ",3131,95
Audi,TT 1.8 Quattro 2dr (convertible),All,Europe,Sports,4,1.8,225,"$33,891 ",159,20,28,"$37,390 ",2921,96
Audi,TT 3.2 coupe 2dr (convertible),All,Europe,Sports,6,3.2,250,"$36,739 ",159,21,29,"$40,590 ",3351,96
BMW,325Ci 2dr,Rear,Europe,Sedan,6,2.5,184,"$28,245 ",177,20,29,"$30,795 ",3197,107
BMW,325Ci convertible 2dr,Rear,Europe,Sedan,6,2.5,184,"$34,800 ",177,19,27,"$37,995 ",3560,107
BMW,325i 4dr,Rear,Europe,Sedan,6,2.5,184,"$26,155 ",176,20,29,"$28,495 ",3219,107
BMW,325xi 4dr,All,Europe,Sedan,6,2.5,184,"$27,745 ",176,19,27,"$30,245 ",3461,107
BMW,325xi Sport,All,Europe,Wagon,6,2.5,184,"$30,110 ",176,19,26,"$32,845 ",3594,107
BMW,330Ci 2dr,Rear,Europe,Sedan,6,3,225,"$33,890 ",176,20,30,"$36,995 ",3285,107
BMW,330Ci convertible 2dr,Rear,Europe,Sedan,6,3,225,"$40,530 ",177,19,28,"$44,295 ",3616,107
BMW,330i 4dr,Rear,Europe,Sedan,6,3,225,"$32,525 ",176,20,30,"$35,495 ",3285,107
BMW,330xi 4dr,All,Europe,Sedan,6,3,225,"$34,115 ",176,20,29,"$37,245 ",3483,107
BMW,525i 4dr,Rear,Europe,Sedan,6,2.5,184,"$36,620 ",191,19,28,"$39,995 ",3428,114
BMW,530i 4dr,Rear,Europe,Sedan,6,3,225,"$41,170 ",191,20,30,"$44,995 ",3472,114
BMW,545iA 4dr,Rear,Europe,Sedan,8,4.4,325,"$50,270 ",191,18,26,"$54,995 ",3814,114
BMW,745i 4dr,Rear,Europe,Sedan,8,4.4,325,"$63,190 ",198,18,26,"$69,195 ",4376,118
BMW,745Li 4dr,Rear,Europe,Sedan,8,4.4,325,"$66,830 ",204,18,26,"$73,195 ",4464,123
BMW,M3 convertible 2dr,Rear,Europe,Sports,6,3.2,333,"$51,815 ",177,16,23,"$56,595 ",3781,108
BMW,M3 coupe 2dr,Rear,Europe,Sports,6,3.2,333,"$44,170 ",177,16,24,"$48,195 ",3415,108
BMW,X3 3.0i,All,Europe,SUV,6,3,225,"$33,873 ",180,16,23,"$37,000 ",4023,110
BMW,X5 4.4i,All,Europe,SUV,8,4.4,325,"$47,720 ",184,16,22,"$52,195 ",4824,111
BMW,Z4 convertible 2.5i 2dr,Rear,Europe,Sports,6,2.5,184,"$31,065 ",161,20,28,"$33,895 ",2932,98
BMW,Z4 convertible 3.0i 2dr,Rear,Europe,Sports,6,3,225,"$37,575 ",161,21,29,"$41,045 ",2998,98
Buick,Century Custom 4dr,Front,USA,Sedan,6,3.1,175,"$20,351 ",195,20,30,"$22,180 ",3353,109
Buick,LeSabre Custom 4dr,Front,USA,Sedan,6,3.8,205,"$24,282 ",200,20,29,"$26,470 ",3567,112
Buick,LeSabre Limited 4dr,Front,USA,Sedan,6,3.8,205,"$29,566 ",200,20,29,"$32,245 ",3591,112
Buick,Park Avenue 4dr,Front,USA,Sedan,6,3.8,205,"$32,244 ",207,20,29,"$35,545 ",3778,114
Buick,Park Avenue Ultra 4dr,Front,USA,Sedan,6,3.8,240,"$36,927 ",207,18,28,"$40,720 ",3909,114
Buick,Rainier,All,USA,SUV,6,4.2,275,"$34,357 ",193,15,21,"$37,895 ",4600,113
Buick,Regal GS 4dr,Front,USA,Sedan,6,3.8,240,"$26,047 ",196,18,28,"$28,345 ",3536,109
Buick,Regal LS 4dr,Front,USA,Sedan,6,3.8,200,"$22,835 ",196,20,30,"$24,895 ",3461,109
Buick,Rendezvous CX,Front,USA,SUV,6,3.4,185,"$24,085 ",187,19,26,"$26,545 ",4024,112
Cadillac,CTS VVT 4dr,Rear,USA,Sedan,6,3.6,255,"$28,575 ",190,18,25,"$30,835 ",3694,113
Cadillac,Deville 4dr,Front,USA,Sedan,8,4.6,275,"$41,650 ",207,18,26,"$45,445 ",3984,115
Cadillac,Deville DTS 4dr,Front,USA,Sedan,8,4.6,300,"$46,362 ",207,18,26,"$50,595 ",4044,115
Cadillac,Escalade,Front,USA,SUV,8,5.3,295,"$48,377 ",199,14,18,"$52,795 ",5367,116
Cadillac,Escalade EXT,All,USA,Truck,8,6,345,"$48,541 ",221,13,17,"$52,975 ",5879,130
Cadillac,Seville SLS 4dr,Front,USA,Sedan,8,4.6,275,"$43,841 ",201,18,26,"$47,955 ",3992,112
Cadillac,SRX V8,Front,USA,SUV,8,4.6,320,"$43,523 ",195,16,21,"$46,995 ",4302,116
Cadillac,XLR convertible 2dr,Rear,USA,Sports,8,4.6,320,"$70,546 ",178,17,25,"$76,200 ",3647,106
Chevrolet,Astro,All,USA,Sedan,6,4.3,190,"$23,954 ",190,14,17,"$26,395 ",4605,111
Chevrolet,Avalanche 1500,All,USA,Truck,8,5.3,295,"$31,689 ",222,14,18,"$36,100 ",5678,130
Chevrolet,Aveo 4dr,Front,USA,Sedan,4,1.6,103,"$10,965 ",167,28,34,"$11,690 ",2370,98
Chevrolet,Aveo LS 4dr hatch,Front,USA,Sedan,4,1.6,103,"$11,802 ",153,28,34,"$12,585 ",2348,98
Chevrolet,Cavalier 2dr,Front,USA,Sedan,4,2.2,140,"$13,697 ",183,26,37,"$14,610 ",2617,104
Chevrolet,Cavalier 4dr,Front,USA,Sedan,4,2.2,140,"$13,884 ",183,26,37,"$14,810 ",2676,104
Chevrolet,Cavalier LS 2dr,Front,USA,Sedan,4,2.2,140,"$15,357 ",183,26,37,"$16,385 ",2617,104
Chevrolet,Colorado Z85,All,USA,Truck,4,2.8,175,"$17,070 ",192,18,23,"$18,760 ",3623,111
Chevrolet,Corvette 2dr,Rear,USA,Sports,8,5.7,350,"$39,068 ",180,18,25,"$44,535 ",3246,105
Chevrolet,Corvette convertible 2dr,Rear,USA,Sports,8,5.7,350,"$45,193 ",180,18,25,"$51,535 ",3248,105
Chevrolet,Impala 4dr,Front,USA,Sedan,6,3.4,180,"$20,095 ",200,21,32,"$21,900 ",3465,111
