age,education,jobclass,health,health_ins,wage
18,1. < HS Grad,1. Industrial,1. <=Good,2. No,75.04315402
24,4. College Grad,2. Information,2. >=Very Good,2. No,70.47601965
45,3. Some College,1. Industrial,1. <=Good,1. Yes,130.9821774
43,4. College Grad,2. Information,2. >=Very Good,1. Yes,154.685293
50,2. HS Grad,2. Information,1. <=Good,1. Yes,75.04315402
54,4. College Grad,2. Information,2. >=Very Good,1. Yes,127.1157438
44,3. Some College,1. Industrial,2. >=Very Good,1. Yes,169.528538
30,3. Some College,2. Information,1. <=Good,1. Yes,111.7208494
41,3. Some College,2. Information,2. >=Very Good,1. Yes,118.8843593
52,2. HS Grad,2. Information,2. >=Very Good,1. Yes,128.6804882
45,3. Some College,2. Information,1. <=Good,1. Yes,117.1468169
34,2. HS Grad,1. Industrial,2. >=Very Good,2. No,81.28325328
35,2. HS Grad,2. Information,2. >=Very Good,1. Yes,89.49247952
39,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,134.7053751
54,2. HS Grad,2. Information,2. >=Very Good,1. Yes,134.7053751
51,3. Some College,1. Industrial,2. >=Very Good,1. Yes,90.48191336
37,4. College Grad,1. Industrial,2. >=Very Good,2. No,82.6796373
50,5. Advanced Degree,2. Information,2. >=Very Good,2. No,212.8423523
56,4. College Grad,1. Industrial,1. <=Good,1. Yes,129.156693
37,3. Some College,1. Industrial,2. >=Very Good,1. Yes,98.59934386
38,4. College Grad,2. Information,2. >=Very Good,2. No,200.5432623
40,2. HS Grad,2. Information,2. >=Very Good,2. No,50.40666086
75,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,85.38394038
40,4. College Grad,2. Information,2. >=Very Good,2. No,160.6424754
38,2. HS Grad,1. Industrial,1. <=Good,2. No,94.07271475
49,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,277.6014175
43,2. HS Grad,1. Industrial,1. <=Good,1. Yes,84.04595765
34,2. HS Grad,1. Industrial,1. <=Good,1. Yes,65.11085372
57,2. HS Grad,1. Industrial,2. >=Very Good,2. No,116.2653241
18,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,70.47601965
55,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,195.676308
